gene_symbol,drug_name,interaction_type,ensembl_id
SIK3,"Antivirals for treatment of HIV infections, combinations",,ENSG00000160584
NME1,zidovudine,,ENSG00000239672
GABPA,QUERCETIN,,ENSG00000154727
S100A12,METHOTREXATE,,ENSG00000163221
VCAM1,6-MERCAPTOPURINE,,ENSG00000162692
MT-RNR1,micronomicin,,ENSG00000211459
CLU,OGX-011,inhibitor,ENSG00000120885
SSTR4,lutetium (177Lu) oxodotreotide,,ENSG00000132671
P2RY2,DIQUAFOSOL TETRASODIUM,agonist,ENSG00000175591
BAP1,TRICHOSTATIN A,,ENSG00000163930
CLOCK,salbutamol,,ENSG00000134852
LEPR,MIBAVADEMAB,agonist,ENSG00000116678
COL4A4,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,cleavage,ENSG00000081052
RPL15,ELX-02,modulator,ENSG00000174748
GLO1,2-(4-METHOXYBENZAMIDO)BENZOIC ACID,,ENSG00000124767
SLCO1A2,celiprolol,,ENSG00000084453
GADD45A,CISPLATIN,,ENSG00000116717
HCP5,gemcitabine,,ENSG00000206337
DAO,BENZOIC ACID,,ENSG00000110887
MAP2K4,BAY869766,inhibitor,ENSG00000065559
HAS3,anthracyclines and related substances,,ENSG00000103044
CDH2,methadone,,ENSG00000170558
CDH15,clopidogrel,,ENSG00000129910
KCND3,GUANIDINE HYDROCHLORIDE,blocker,ENSG00000171385
KCNH8,TEDISAMIL,blocker,ENSG00000183960
ALOX5AP,VELIFLAPON,inhibitor,ENSG00000132965
MTNR1B,RAMELTEON,agonist,ENSG00000134640
C5AR1,AVACOPAN,inhibitor,ENSG00000197405
RPL37,ELX-02,modulator,ENSG00000145592
FFAR2,GLPG-0974,inhibitor,ENSG00000126262
AGXT,nedosiran,,ENSG00000172482
CTSC,PROGESTERONE,,ENSG00000109861
ATRX,OLAPARIB,,ENSG00000085224
