ensembl_id,disease_efo_id,association_score
ENSG00000187098,MONDO_0045063,0.18501244800266392
ENSG00000100721,EFO_0801819,0.24358643420883722
ENSG00000112115,EFO_0004906,0.021067680254487183
ENSG00000167258,MONDO_0008411,0.003700248960053279
ENSG00000109670,EFO_1000155,0.18501244800266392
ENSG00000107968,EFO_0000544,0.04555145670101601
ENSG00000173175,OBA_2040646,0.01984177820281322
ENSG00000129219,HP_0001952,0.004070273856058606
ENSG00000101966,MONDO_0042491,0.02195481049631612
ENSG00000181929,MONDO_0012675,0.03458992727857805
ENSG00000079739,EFO_1000897,0.007400497920106558
ENSG00000110887,EFO_0600064,0.00571482894941562
ENSG00000109670,EFO_0004541,0.28171313936935105
ENSG00000180530,MONDO_0004892,0.41787829490166106
ENSG00000112115,EFO_0007800,0.03130744407840745
ENSG00000160584,MONDO_0016761,0.003700248960053279
ENSG00000117560,MONDO_0014810,0.04312270138046091
ENSG00000181092,EFO_0000685,0.12035822105018061
ENSG00000071575,EFO_0007986,0.45246407184419446
ENSG00000187764,EFO_0009946,0.031747606580366926
ENSG00000165092,MONDO_0003036,0.006747815117430493
ENSG00000109861,MONDO_0002898,0.18457062506364996
ENSG00000120088,EFO_0010968,0.07106042452821973
ENSG00000081052,EFO_0005922,0.002220149376031967
ENSG00000112115,EFO_0000464,0.08596275292234802
ENSG00000186951,HP_0010992,0.002220149376031967
ENSG00000070915,EFO_1001436,0.002220149376031967
ENSG00000169710,EFO_0000232,0.0819480631833668
ENSG00000171860,EFO_1001249,0.019390332397612526
ENSG00000183960,EFO_0001358,0.05886518655837607
ENSG00000101966,MONDO_0018177,0.05602673510201474
ENSG00000109861,EFO_0003767,0.01498600828821578
ENSG00000188229,EFO_0000556,0.25901742720372944
ENSG00000120885,EFO_1001434,0.0014800995840213117
ENSG00000113580,EFO_0011052,0.002220149376031967
ENSG00000096060,EFO_0000676,0.007012474047043418
ENSG00000175591,EFO_0000763,0.013215310753182039
ENSG00000239672,MONDO_0008233,0.0051803485440745905
ENSG00000164588,MONDO_0009830,0.03811256428854878
ENSG00000139193,EFO_0803548,0.020749739886442214
ENSG00000116678,MONDO_0017967,0.03635864628148352
ENSG00000165731,EFO_0000319,0.003515236512050615
ENSG00000140675,MONDO_0019524,0.03339844711344089
ENSG00000163221,EFO_0003898,0.002220149376031967
ENSG00000077782,HP_0000356,0.0014800995840213117
ENSG00000118046,Orphanet_276399,0.05655707193809436
ENSG00000162692,MONDO_0020546,0.017591600264253295
ENSG00000112115,EFO_1000203,0.0033302240640479507
ENSG00000167258,MONDO_0019402,0.03390168097200814
