subject,predicate,object,subject_category,object_category,knowledge_source,source_relationship
DRUG_NAME:PHENYLTHIAZOL-2-AMINE,biolink:interacts_with,NCBIGene:84727,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VERUBULIN,biolink:negatively_regulates,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,negative modulator
DRUG_NAME:Trastuzumab,biolink:interacts_with,NCBIGene:3082,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:NSC-753575,biolink:interacts_with,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ITRACONAZOLE,biolink:interacts_with,NCBIGene:1728,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:REMTOLUMAB,biolink:negatively_regulates,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:INDEGLITAZAR,biolink:positively_regulates,NCBIGene:5465,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:MEK162,biolink:negatively_regulates,NCBIGene:6416,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:tremelimumab,biolink:interacts_with,NCBIGene:238,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:DOXORUBICIN,biolink:interacts_with,NCBIGene:1647,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:LINIFANIB,biolink:interacts_with,NCBIGene:51135,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VINFLUNINE,biolink:negatively_regulates,NCBIGene:112714,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:Olaparib,biolink:interacts_with,NCBIGene:6794,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GNF-PF-4029,biolink:interacts_with,NCBIGene:4221,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TEDISAMIL,biolink:negatively_regulates,NCBIGene:3752,biolink:ChemicalEntity,biolink:Gene,DGIdb,blocker
DRUG_NAME:CETRIMONIUM BROMIDE,biolink:interacts_with,NCBIGene:4221,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TISOTUMAB VEDOTIN,biolink:negatively_regulates,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CABOZANTINIB,biolink:negatively_regulates,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:CORTISONE ACETATE,biolink:positively_regulates,NCBIGene:2908,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:opioids,biolink:interacts_with,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TROGLITAZONE,biolink:interacts_with,NCBIGene:1647,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:IZOKIBEP,biolink:negatively_regulates,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,inhibitor
DRUG_NAME:VINBLASTINE,biolink:interacts_with,NCBIGene:10383,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:VELDOREOTIDE,biolink:positively_regulates,NCBIGene:6754,biolink:ChemicalEntity,biolink:Gene,DGIdb,agonist
DRUG_NAME:VANDETANIB,biolink:interacts_with,NCBIGene:5979,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:TRIIODOTHYRONINE,biolink:interacts_with,NCBIGene:2194,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:ERYTHROMYCIN,biolink:interacts_with,NCBIGene:3605,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:BORTEZOMIB,biolink:interacts_with,NCBIGene:5702,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:GNF-PF-3407,biolink:interacts_with,NCBIGene:4286,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:PEMBROLIZUMAB,biolink:interacts_with,NCBIGene:6794,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
DRUG_NAME:nortriptyline,biolink:interacts_with,NCBIGene:1394,biolink:ChemicalEntity,biolink:Gene,DGIdb,other/unknown
