id,category,name
DRUG_NAME:DNDI1417080,biolink:ChemicalEntity,DNDI1417080
NCBIGene:112714,biolink:Gene,TUBA3E
DRUG_NAME:POLATUZUMAB VEDOTIN,biolink:ChemicalEntity,POLATUZUMAB VEDOTIN
DRUG_NAME:APIGENIN,biolink:ChemicalEntity,APIGENIN
DRUG_NAME:8-FLUOROTRYPTANTHRIN,biolink:ChemicalEntity,8-FLUOROTRYPTANTHRIN
DRUG_NAME:FOSDAGROCORAT,biolink:ChemicalEntity,FOSDAGROCORAT
DRUG_NAME:ZYH7,biolink:ChemicalEntity,ZYH7
DRUG_NAME:Trametinib,biolink:ChemicalEntity,Trametinib
DRUG_NAME:metformin,biolink:ChemicalEntity,metformin
NCBIGene:2289,biolink:Gene,FKBP5
DRUG_NAME:gemcitabine,biolink:ChemicalEntity,gemcitabine
NCBIGene:331,biolink:Gene,XIAP
DRUG_NAME:DIFFERENTIATING AGENTS,biolink:ChemicalEntity,DIFFERENTIATING AGENTS
NCBIGene:7280,biolink:Gene,TUBB2A
DRUG_NAME:IXABEPILONE,biolink:ChemicalEntity,IXABEPILONE
DRUG_NAME:MEPREDNISONE,biolink:ChemicalEntity,MEPREDNISONE
DRUG_NAME:Lorlatinib,biolink:ChemicalEntity,Lorlatinib
NCBIGene:5979,biolink:Gene,RET
DRUG_NAME:unspecified immune checkpoint inhibitor,biolink:ChemicalEntity,unspecified immune checkpoint inhibitor
NCBIGene:5571,biolink:Gene,PRKAG1
DRUG_NAME:ACADESINE,biolink:ChemicalEntity,ACADESINE
DRUG_NAME:3D185,biolink:ChemicalEntity,3D185
NCBIGene:4221,biolink:Gene,MEN1
DRUG_NAME:CID2350207,biolink:ChemicalEntity,CID2350207
DRUG_NAME:2-PHENYLPHENOL,biolink:ChemicalEntity,2-PHENYLPHENOL
NCBIGene:1647,biolink:Gene,GADD45A
DRUG_NAME:GENISTEIN,biolink:ChemicalEntity,GENISTEIN
DRUG_NAME:CARMINE,biolink:ChemicalEntity,CARMINE
DRUG_NAME:CHLORANIL,biolink:ChemicalEntity,CHLORANIL
DRUG_NAME:DEXAMETHASONE ACETATE,biolink:ChemicalEntity,DEXAMETHASONE ACETATE
DRUG_NAME:Derazantinib,biolink:ChemicalEntity,Derazantinib
DRUG_NAME:Ixazomib,biolink:ChemicalEntity,Ixazomib
DRUG_NAME:BIVATUZUMAB MERTANSINE,biolink:ChemicalEntity,BIVATUZUMAB MERTANSINE
DRUG_NAME:CID 1540545,biolink:ChemicalEntity,CID 1540545
NCBIGene:3752,biolink:Gene,KCND3
DRUG_NAME:NERISPIRDINE,biolink:ChemicalEntity,NERISPIRDINE
DRUG_NAME:HESPERADIN,biolink:ChemicalEntity,HESPERADIN
DRUG_NAME:LOXO-292,biolink:ChemicalEntity,LOXO-292
DRUG_NAME:CABAZITAXEL,biolink:ChemicalEntity,CABAZITAXEL
NCBIGene:6361,biolink:Gene,CCL17
DRUG_NAME:TACROLIMUS,biolink:ChemicalEntity,TACROLIMUS
NCBIGene:6713,biolink:Gene,SQLE
DRUG_NAME:AMIODARONE,biolink:ChemicalEntity,AMIODARONE
NCBIGene:4025,biolink:Gene,LPO
DRUG_NAME:ASCORBIC ACID,biolink:ChemicalEntity,ASCORBIC ACID
NCBIGene:356,biolink:Gene,FASLG
DRUG_NAME:ASUNERCEPT,biolink:ChemicalEntity,ASUNERCEPT
DRUG_NAME:DOVITINIB,biolink:ChemicalEntity,DOVITINIB
DRUG_NAME:BETAMETHASONE,biolink:ChemicalEntity,BETAMETHASONE
DRUG_NAME:FIIN-1,biolink:ChemicalEntity,FIIN-1
DRUG_NAME:NSC-751382,biolink:ChemicalEntity,NSC-751382
NCBIGene:3784,biolink:Gene,KCNQ1
DRUG_NAME:tacrolimus,biolink:ChemicalEntity,tacrolimus
DRUG_NAME:VERUBULIN,biolink:ChemicalEntity,VERUBULIN
DRUG_NAME:RG-7841,biolink:ChemicalEntity,RG-7841
NCBIGene:292,biolink:Gene,SLC25A5
DRUG_NAME:BUTYRATE,biolink:ChemicalEntity,BUTYRATE
NCBIGene:4524,biolink:Gene,MTHFR
DRUG_NAME:FLUOROURACIL,biolink:ChemicalEntity,FLUOROURACIL
DRUG_NAME:AMIFAMPRIDINE PHOSPHATE,biolink:ChemicalEntity,AMIFAMPRIDINE PHOSPHATE
DRUG_NAME:GNF-PF-4867,biolink:ChemicalEntity,GNF-PF-4867
DRUG_NAME:TAE-684,biolink:ChemicalEntity,TAE-684
DRUG_NAME:Vandetanib,biolink:ChemicalEntity,Vandetanib
NCBIGene:1394,biolink:Gene,CRHR1
DRUG_NAME:antidepressants,biolink:ChemicalEntity,antidepressants
NCBIGene:4311,biolink:Gene,MME
DRUG_NAME:DAGLUTRIL,biolink:ChemicalEntity,DAGLUTRIL
DRUG_NAME:SINENSETIN,biolink:ChemicalEntity,SINENSETIN
NCBIGene:2905,biolink:Gene,GRIN2C
DRUG_NAME:DELUCEMINE,biolink:ChemicalEntity,DELUCEMINE
NCBIGene:84727,biolink:Gene,SPSB2
DRUG_NAME:PHENYLTHIAZOL-2-AMINE,biolink:ChemicalEntity,PHENYLTHIAZOL-2-AMINE
NCBIGene:3082,biolink:Gene,HGF
DRUG_NAME:Trastuzumab,biolink:ChemicalEntity,Trastuzumab
DRUG_NAME:NSC-753575,biolink:ChemicalEntity,NSC-753575
DRUG_NAME:ITRACONAZOLE,biolink:ChemicalEntity,ITRACONAZOLE
NCBIGene:3605,biolink:Gene,IL17A
DRUG_NAME:REMTOLUMAB,biolink:ChemicalEntity,REMTOLUMAB
DRUG_NAME:INDEGLITAZAR,biolink:ChemicalEntity,INDEGLITAZAR
NCBIGene:6416,biolink:Gene,MAP2K4
DRUG_NAME:MEK162,biolink:ChemicalEntity,MEK162
DRUG_NAME:tremelimumab,biolink:ChemicalEntity,tremelimumab
DRUG_NAME:DOXORUBICIN,biolink:ChemicalEntity,DOXORUBICIN
NCBIGene:51135,biolink:Gene,IRAK4
DRUG_NAME:LINIFANIB,biolink:ChemicalEntity,LINIFANIB
DRUG_NAME:VINFLUNINE,biolink:ChemicalEntity,VINFLUNINE
NCBIGene:6794,biolink:Gene,STK11
DRUG_NAME:Olaparib,biolink:ChemicalEntity,Olaparib
DRUG_NAME:GNF-PF-4029,biolink:ChemicalEntity,GNF-PF-4029
DRUG_NAME:TEDISAMIL,biolink:ChemicalEntity,TEDISAMIL
DRUG_NAME:CETRIMONIUM BROMIDE,biolink:ChemicalEntity,CETRIMONIUM BROMIDE
DRUG_NAME:TISOTUMAB VEDOTIN,biolink:ChemicalEntity,TISOTUMAB VEDOTIN
DRUG_NAME:CABOZANTINIB,biolink:ChemicalEntity,CABOZANTINIB
DRUG_NAME:CORTISONE ACETATE,biolink:ChemicalEntity,CORTISONE ACETATE
DRUG_NAME:opioids,biolink:ChemicalEntity,opioids
DRUG_NAME:TROGLITAZONE,biolink:ChemicalEntity,TROGLITAZONE
DRUG_NAME:IZOKIBEP,biolink:ChemicalEntity,IZOKIBEP
DRUG_NAME:VINBLASTINE,biolink:ChemicalEntity,VINBLASTINE
NCBIGene:6754,biolink:Gene,SSTR4
DRUG_NAME:VELDOREOTIDE,biolink:ChemicalEntity,VELDOREOTIDE
DRUG_NAME:VANDETANIB,biolink:ChemicalEntity,VANDETANIB
NCBIGene:2194,biolink:Gene,FASN
DRUG_NAME:TRIIODOTHYRONINE,biolink:ChemicalEntity,TRIIODOTHYRONINE
DRUG_NAME:ERYTHROMYCIN,biolink:ChemicalEntity,ERYTHROMYCIN
DRUG_NAME:BORTEZOMIB,biolink:ChemicalEntity,BORTEZOMIB
DRUG_NAME:GNF-PF-3407,biolink:ChemicalEntity,GNF-PF-3407
DRUG_NAME:PEMBROLIZUMAB,biolink:ChemicalEntity,PEMBROLIZUMAB
DRUG_NAME:nortriptyline,biolink:ChemicalEntity,nortriptyline
DRUG_NAME:T-900607,biolink:ChemicalEntity,T-900607
NCBIGene:55294,biolink:Gene,FBXW7
DRUG_NAME:Regorafenib,biolink:ChemicalEntity,Regorafenib
DRUG_NAME:PATUPILONE,biolink:ChemicalEntity,PATUPILONE
DRUG_NAME:SHO-SAIKO-TO,biolink:ChemicalEntity,SHO-SAIKO-TO
DRUG_NAME:GW7647,biolink:ChemicalEntity,GW7647
NCBIGene:1809,biolink:Gene,DPYSL3
DRUG_NAME:METHIMAZOLE,biolink:ChemicalEntity,METHIMAZOLE
"DRUG_NAME:5,6,7,8,4'-PENTAHYDROXYFLAVONE",biolink:ChemicalEntity,"5,6,7,8,4'-PENTAHYDROXYFLAVONE"
DRUG_NAME:Ponatinib,biolink:ChemicalEntity,Ponatinib
DRUG_NAME:ZIMLOVISERTIB,biolink:ChemicalEntity,ZIMLOVISERTIB
DRUG_NAME:AV-101,biolink:ChemicalEntity,AV-101
DRUG_NAME:GNF-PF-2272,biolink:ChemicalEntity,GNF-PF-2272
DRUG_NAME:sorafenib,biolink:ChemicalEntity,sorafenib
NCBIGene:57650,biolink:Gene,CIP2A
DRUG_NAME:GEMCITABINE,biolink:ChemicalEntity,GEMCITABINE
NCBIGene:51755,biolink:Gene,CDK12
DRUG_NAME:Melphalan,biolink:ChemicalEntity,Melphalan
DRUG_NAME:PROTEASOME INHIBITOR,biolink:ChemicalEntity,PROTEASOME INHIBITOR
DRUG_NAME:VINCRISTINE SULFATE,biolink:ChemicalEntity,VINCRISTINE SULFATE
DRUG_NAME:CATECHOL,biolink:ChemicalEntity,CATECHOL
NCBIGene:480,biolink:Gene,ATP1A4
DRUG_NAME:ACETYLDIGITOXIN,biolink:ChemicalEntity,ACETYLDIGITOXIN
DRUG_NAME:Entinostat,biolink:ChemicalEntity,Entinostat
NCBIGene:1286,biolink:Gene,COL4A4
DRUG_NAME:TRC-093,biolink:ChemicalEntity,TRC-093
DRUG_NAME:RAPAMYCIN,biolink:ChemicalEntity,RAPAMYCIN
DRUG_NAME:ritonavir,biolink:ChemicalEntity,ritonavir
DRUG_NAME:ALEGLITAZAR,biolink:ChemicalEntity,ALEGLITAZAR
DRUG_NAME:carvedilol,biolink:ChemicalEntity,carvedilol
DRUG_NAME:NOCODAZOLE,biolink:ChemicalEntity,NOCODAZOLE
NCBIGene:3171,biolink:Gene,FOXA3
DRUG_NAME:rosuvastatin,biolink:ChemicalEntity,rosuvastatin
DRUG_NAME:CEPHALOCHROMIN,biolink:ChemicalEntity,CEPHALOCHROMIN
NCBIGene:4717,biolink:Gene,NDUFC1
DRUG_NAME:ME-344,biolink:ChemicalEntity,ME-344
NCBIGene:7412,biolink:Gene,VCAM1
DRUG_NAME:CYCLOSPORINE,biolink:ChemicalEntity,CYCLOSPORINE
DRUG_NAME:AEG40826,biolink:ChemicalEntity,AEG40826
DRUG_NAME:INFLIXIMAB,biolink:ChemicalEntity,INFLIXIMAB
NCBIGene:3953,biolink:Gene,LEPR
DRUG_NAME:simvastatin,biolink:ChemicalEntity,simvastatin
DRUG_NAME:PIRENOXINE,biolink:ChemicalEntity,PIRENOXINE
DRUG_NAME:DNDI1416969,biolink:ChemicalEntity,DNDI1416969
NCBIGene:55556,biolink:Gene,ENOSF1
DRUG_NAME:methotrexate,biolink:ChemicalEntity,methotrexate
DRUG_NAME:LARGAZOLE,biolink:ChemicalEntity,LARGAZOLE
DRUG_NAME:4-(PHENYLCARBAMOYL)BENZYLNITRATE,biolink:ChemicalEntity,4-(PHENYLCARBAMOYL)BENZYLNITRATE
DRUG_NAME:Temsirolimus,biolink:ChemicalEntity,Temsirolimus
NCBIGene:6404,biolink:Gene,SELPLG
DRUG_NAME:NEIHULIZUMAB,biolink:ChemicalEntity,NEIHULIZUMAB
DRUG_NAME:methylphenidate,biolink:ChemicalEntity,methylphenidate
DRUG_NAME:mycophenolic acid,biolink:ChemicalEntity,mycophenolic acid
DRUG_NAME:SECUKINUMAB,biolink:ChemicalEntity,SECUKINUMAB
DRUG_NAME:GNF-PF-3951,biolink:ChemicalEntity,GNF-PF-3951
NCBIGene:3615,biolink:Gene,IMPDH2
NCBIGene:100,biolink:Gene,ADA
DRUG_NAME:COFORMYCIN,biolink:ChemicalEntity,COFORMYCIN
NCBIGene:6167,biolink:Gene,RPL37
DRUG_NAME:CYCLOHEXIMIDE,biolink:ChemicalEntity,CYCLOHEXIMIDE
NCBIGene:8204,biolink:Gene,NRIP1
DRUG_NAME:RETINOIDS,biolink:ChemicalEntity,RETINOIDS
NCBIGene:5597,biolink:Gene,MAPK6
NCBIGene:5029,biolink:Gene,P2RY2
DRUG_NAME:DENUFOSOL TETRASODIUM,biolink:ChemicalEntity,DENUFOSOL TETRASODIUM
NCBIGene:112744,biolink:Gene,IL17F
DRUG_NAME:IL-17,biolink:ChemicalEntity,IL-17
DRUG_NAME:NSC-645827,biolink:ChemicalEntity,NSC-645827
DRUG_NAME:ATALUREN,biolink:ChemicalEntity,ATALUREN
DRUG_NAME:VUNAKIZUMAB,biolink:ChemicalEntity,VUNAKIZUMAB
DRUG_NAME:CROLIBULIN,biolink:ChemicalEntity,CROLIBULIN
DRUG_NAME:PERAKIZUMAB,biolink:ChemicalEntity,PERAKIZUMAB
DRUG_NAME:NIFUROXAZIDE,biolink:ChemicalEntity,NIFUROXAZIDE
NCBIGene:8314,biolink:Gene,BAP1
DRUG_NAME:VALPROIC ACID,biolink:ChemicalEntity,VALPROIC ACID
NCBIGene:3038,biolink:Gene,HAS3
DRUG_NAME:HYDROCORTISONE,biolink:ChemicalEntity,HYDROCORTISONE
NCBIGene:3145,biolink:Gene,HMBS
DRUG_NAME:givosiran,biolink:ChemicalEntity,givosiran
DRUG_NAME:ANTIMALARIALS,biolink:ChemicalEntity,ANTIMALARIALS
DRUG_NAME:ESKETAMINE HYDROCHLORIDE,biolink:ChemicalEntity,ESKETAMINE HYDROCHLORIDE
NCBIGene:388,biolink:Gene,RHOB
DRUG_NAME:TRIMETHYL-[3-(TETRADECANE-1-SULFONYLAMINO)-PROPYL]-AMMONIUM IODIDE,biolink:ChemicalEntity,TRIMETHYL-[3-(TETRADECANE-1-SULFONYLAMINO)-PROPYL]-AMMONIUM IODIDE
DRUG_NAME:VITAMIN K,biolink:ChemicalEntity,VITAMIN K
DRUG_NAME:MK2206,biolink:ChemicalEntity,MK2206
DRUG_NAME:THALIDOMIDE,biolink:ChemicalEntity,THALIDOMIDE
DRUG_NAME:DOLASETRON,biolink:ChemicalEntity,DOLASETRON
DRUG_NAME:prednisolone,biolink:ChemicalEntity,prednisolone
DRUG_NAME:fluoxetine,biolink:ChemicalEntity,fluoxetine
DRUG_NAME:acetaminophen,biolink:ChemicalEntity,acetaminophen
DRUG_NAME:CHLORHEXIDINE HYDROCHLORIDE,biolink:ChemicalEntity,CHLORHEXIDINE HYDROCHLORIDE
DRUG_NAME:Sirolimus,biolink:ChemicalEntity,Sirolimus
NCBIGene:5338,biolink:Gene,PLD2
DRUG_NAME:TAMOXIFEN,biolink:ChemicalEntity,TAMOXIFEN
NCBIGene:2251,biolink:Gene,FGF6
DRUG_NAME:BUPIVACAINE,biolink:ChemicalEntity,BUPIVACAINE
DRUG_NAME:vildagliptin,biolink:ChemicalEntity,vildagliptin
DRUG_NAME:levodopa,biolink:ChemicalEntity,levodopa
NCBIGene:187,biolink:Gene,APLNR
DRUG_NAME:APELIN,biolink:ChemicalEntity,APELIN
DRUG_NAME:NSC-317605,biolink:ChemicalEntity,NSC-317605
DRUG_NAME:Vistusertib,biolink:ChemicalEntity,Vistusertib
DRUG_NAME:BELATACEPT,biolink:ChemicalEntity,BELATACEPT
DRUG_NAME:ZINC SULFATE,biolink:ChemicalEntity,ZINC SULFATE
NCBIGene:8115,biolink:Gene,TCL1A
DRUG_NAME:estradiol,biolink:ChemicalEntity,estradiol
NCBIGene:51561,biolink:Gene,IL23A
DRUG_NAME:GUSELKUMAB,biolink:ChemicalEntity,GUSELKUMAB
DRUG_NAME:EZOGABINE,biolink:ChemicalEntity,EZOGABINE
DRUG_NAME:PANOBINOSTAT,biolink:ChemicalEntity,PANOBINOSTAT
DRUG_NAME:carboplatin,biolink:ChemicalEntity,carboplatin
DRUG_NAME:AZD6244,biolink:ChemicalEntity,AZD6244
DRUG_NAME:Avelumab,biolink:ChemicalEntity,Avelumab
DRUG_NAME:NSC-175743,biolink:ChemicalEntity,NSC-175743
DRUG_NAME:LCL161,biolink:ChemicalEntity,LCL161
NCBIGene:81608,biolink:Gene,FIP1L1
DRUG_NAME:meperidine,biolink:ChemicalEntity,meperidine
DRUG_NAME:METHOTREXATE,biolink:ChemicalEntity,METHOTREXATE
DRUG_NAME:CRINECERFONT,biolink:ChemicalEntity,CRINECERFONT
DRUG_NAME:Veliparib,biolink:ChemicalEntity,Veliparib
DRUG_NAME:GNF-PF-3023,biolink:ChemicalEntity,GNF-PF-3023
DRUG_NAME:NITROBLUE TETRAZOLIUM,biolink:ChemicalEntity,NITROBLUE TETRAZOLIUM
DRUG_NAME:GDC-0973,biolink:ChemicalEntity,GDC-0973
DRUG_NAME:etoposide,biolink:ChemicalEntity,etoposide
NCBIGene:5452,biolink:Gene,POU2F2
DRUG_NAME:LINAGLIPTIN,biolink:ChemicalEntity,LINAGLIPTIN
DRUG_NAME:valproic acid,biolink:ChemicalEntity,valproic acid
DRUG_NAME:RETINOIC ACID,biolink:ChemicalEntity,RETINOIC ACID
"DRUG_NAME:5-CHLORO-[1,10]PHENANTHROLINE",biolink:ChemicalEntity,"5-CHLORO-[1,10]PHENANTHROLINE"
DRUG_NAME:JQ1,biolink:ChemicalEntity,JQ1
NCBIGene:6559,biolink:Gene,SLC12A3
DRUG_NAME:torasemide,biolink:ChemicalEntity,torasemide
DRUG_NAME:NV-128,biolink:ChemicalEntity,NV-128
NCBIGene:5236,biolink:Gene,PGM1
DRUG_NAME:ethanol,biolink:ChemicalEntity,ethanol
NCBIGene:29128,biolink:Gene,UHRF1
DRUG_NAME:gefitinib,biolink:ChemicalEntity,gefitinib
DRUG_NAME:Gedatolisib,biolink:ChemicalEntity,Gedatolisib
DRUG_NAME:NSC-3323,biolink:ChemicalEntity,NSC-3323
NCBIGene:4830,biolink:Gene,NME1
DRUG_NAME:LYCOPENE,biolink:ChemicalEntity,LYCOPENE
NCBIGene:546,biolink:Gene,ATRX
DRUG_NAME:PCV REGIMEN,biolink:ChemicalEntity,PCV REGIMEN
DRUG_NAME:HALOPEMIDE,biolink:ChemicalEntity,HALOPEMIDE
DRUG_NAME:tenofovir,biolink:ChemicalEntity,tenofovir
NCBIGene:6138,biolink:Gene,RPL15
NCBIGene:4549,biolink:Gene,MT-RNR1
DRUG_NAME:aminoglycoside antibacterials,biolink:ChemicalEntity,aminoglycoside antibacterials
DRUG_NAME:Talazoparib,biolink:ChemicalEntity,Talazoparib
NCBIGene:6524,biolink:Gene,SLC5A2
DRUG_NAME:HENAGLIFLOZIN,biolink:ChemicalEntity,HENAGLIFLOZIN
DRUG_NAME:adefovir dipivoxil,biolink:ChemicalEntity,adefovir dipivoxil
DRUG_NAME:NG-MONOMETHYL-L-ARGININE,biolink:ChemicalEntity,NG-MONOMETHYL-L-ARGININE
DRUG_NAME:clomipramine,biolink:ChemicalEntity,clomipramine
NCBIGene:875,biolink:Gene,CBS
DRUG_NAME:Arsenic compounds,biolink:ChemicalEntity,Arsenic compounds
DRUG_NAME:CYCLOPHOSPHAMIDE,biolink:ChemicalEntity,CYCLOPHOSPHAMIDE
DRUG_NAME:SUNITINIB,biolink:ChemicalEntity,SUNITINIB
DRUG_NAME:DAPAGLIFLOZIN PROPYLENE GLYCOL,biolink:ChemicalEntity,DAPAGLIFLOZIN PROPYLENE GLYCOL
DRUG_NAME:CHLOROTHIAZIDE,biolink:ChemicalEntity,CHLOROTHIAZIDE
DRUG_NAME:olanzapine,biolink:ChemicalEntity,olanzapine
NCBIGene:131096,biolink:Gene,KCNH8
DRUG_NAME:RONICICLIB,biolink:ChemicalEntity,RONICICLIB
DRUG_NAME:EBDAROKIMAB,biolink:ChemicalEntity,EBDAROKIMAB
DRUG_NAME:EMICERFONT,biolink:ChemicalEntity,EMICERFONT
NCBIGene:3381,biolink:Gene,IBSP
DRUG_NAME:CYCLOSPORIN A,biolink:ChemicalEntity,CYCLOSPORIN A
DRUG_NAME:TRAIL,biolink:ChemicalEntity,TRAIL
DRUG_NAME:ondansetron,biolink:ChemicalEntity,ondansetron
NCBIGene:5715,biolink:Gene,PSMD9
DRUG_NAME:TRICHOSTATIN A,biolink:ChemicalEntity,TRICHOSTATIN A
DRUG_NAME:MIZORIBINE,biolink:ChemicalEntity,MIZORIBINE
DRUG_NAME:M-1095,biolink:ChemicalEntity,M-1095
NCBIGene:3756,biolink:Gene,KCNH1
DRUG_NAME:DALFAMPRIDINE,biolink:ChemicalEntity,DALFAMPRIDINE
NCBIGene:348980,biolink:Gene,HCN1
DRUG_NAME:o-desmethyltramadol,biolink:ChemicalEntity,o-desmethyltramadol
NCBIGene:1075,biolink:Gene,CTSC
DRUG_NAME:CALCIUM GLUCONATE,biolink:ChemicalEntity,CALCIUM GLUCONATE
DRUG_NAME:OXALIPLATIN,biolink:ChemicalEntity,OXALIPLATIN
DRUG_NAME:atorvastatin,biolink:ChemicalEntity,atorvastatin
NCBIGene:9978,biolink:Gene,RBX1
DRUG_NAME:IBERDOMIDE,biolink:ChemicalEntity,IBERDOMIDE
DRUG_NAME:METFORMIN HYDROCHLORIDE,biolink:ChemicalEntity,METFORMIN HYDROCHLORIDE
DRUG_NAME:cisplatin,biolink:ChemicalEntity,cisplatin
NCBIGene:26130,biolink:Gene,GAPVD1
DRUG_NAME:interferon beta-1a,biolink:ChemicalEntity,interferon beta-1a
DRUG_NAME:AZD7762,biolink:ChemicalEntity,AZD7762
NCBIGene:2551,biolink:Gene,GABPA
DRUG_NAME:DOX,biolink:ChemicalEntity,DOX
NCBIGene:6579,biolink:Gene,SLCO1A2
DRUG_NAME:tamoxifen,biolink:ChemicalEntity,tamoxifen
DRUG_NAME:MYCOPHENOLATE MOFETIL,biolink:ChemicalEntity,MYCOPHENOLATE MOFETIL
DRUG_NAME:ANTINEOPLASTIC,biolink:ChemicalEntity,ANTINEOPLASTIC
DRUG_NAME:3TC,biolink:ChemicalEntity,3TC
DRUG_NAME:TYROSINE KINASE INHIBITORS,biolink:ChemicalEntity,TYROSINE KINASE INHIBITORS
DRUG_NAME:VERUCERFONT,biolink:ChemicalEntity,VERUCERFONT
DRUG_NAME:INDOMETHACIN,biolink:ChemicalEntity,INDOMETHACIN
DRUG_NAME:MAO inhibitors,biolink:ChemicalEntity,MAO inhibitors
DRUG_NAME:TUMOR NECROSIS FACTOR-BETA,biolink:ChemicalEntity,TUMOR NECROSIS FACTOR-BETA
DRUG_NAME:fluorouracil,biolink:ChemicalEntity,fluorouracil
DRUG_NAME:PF-562271,biolink:ChemicalEntity,PF-562271
DRUG_NAME:nitrous oxide,biolink:ChemicalEntity,nitrous oxide
DRUG_NAME:NSC-126188,biolink:ChemicalEntity,NSC-126188
DRUG_NAME:LORATADINE,biolink:ChemicalEntity,LORATADINE
NCBIGene:728,biolink:Gene,C5AR1
DRUG_NAME:AVDORALIMAB,biolink:ChemicalEntity,AVDORALIMAB
DRUG_NAME:MT-3724,biolink:ChemicalEntity,MT-3724
NCBIGene:55779,biolink:Gene,CFAP44
DRUG_NAME:hmg coa reductase inhibitors,biolink:ChemicalEntity,hmg coa reductase inhibitors
DRUG_NAME:AT-406,biolink:ChemicalEntity,AT-406
DRUG_NAME:PENTABROMOPHENOL,biolink:ChemicalEntity,PENTABROMOPHENOL
DRUG_NAME:AZT,biolink:ChemicalEntity,AZT
DRUG_NAME:BRAZIKUMAB,biolink:ChemicalEntity,BRAZIKUMAB
DRUG_NAME:cyclophosphamide,biolink:ChemicalEntity,cyclophosphamide
DRUG_NAME:METFORMIN,biolink:ChemicalEntity,METFORMIN
NCBIGene:4544,biolink:Gene,MTNR1B
DRUG_NAME:TASIMELTEON,biolink:ChemicalEntity,TASIMELTEON
DRUG_NAME:sitagliptin,biolink:ChemicalEntity,sitagliptin
NCBIGene:11343,biolink:Gene,MGLL
DRUG_NAME:N-PHENYLMALEIMIDE,biolink:ChemicalEntity,N-PHENYLMALEIMIDE
NCBIGene:1642,biolink:Gene,DDB1
DRUG_NAME:RISANKIZUMAB,biolink:ChemicalEntity,RISANKIZUMAB
DRUG_NAME:FLAVOPIRIDOL,biolink:ChemicalEntity,FLAVOPIRIDOL
DRUG_NAME:ISO-IANTHERAN A,biolink:ChemicalEntity,ISO-IANTHERAN A
NCBIGene:1013,biolink:Gene,CDH15
DRUG_NAME:aspirin,biolink:ChemicalEntity,aspirin
DRUG_NAME:LORGLUMIDE SODIUM,biolink:ChemicalEntity,LORGLUMIDE SODIUM
