mondo_id,previous_name,mondo_label,matched
MONDO:0014981,MONDO:0014981,immunodeficiency 49,True
MONDO:0971173,MONDO:0971173,autoinflammation with arthritis and vasculitis,True
MONDO:0032714,MONDO:0032714,"facial dysmorphism, hypertrichosis, epilepsy, intellectual/developmental delay, and gingival overgrowth syndrome",True
MONDO:0003334,MONDO:0003334,demyelinating polyneuropathy,True
MONDO:0021259,MONDO:0021259,prostate neoplasm,True
MONDO:0005475,MONDO:0005475,migraine with aura,True
MONDO:0043579,MONDO:0043579,enteritis,True
MONDO:0957572,MONDO:0957572,thrombocytopenia 9,True
MONDO:0100234,MONDO:0100234,paroxysmal familial ventricular fibrillation,True
MONDO:0013730,MONDO:0013730,graft versus host disease,True
MONDO:0019192,MONDO:0019192,AKT2-related familial partial lipodystrophy,True
MONDO:0005784,MONDO:0005784,hantavirus hemorrhagic fever with renal syndrome,True
MONDO:0014054,MONDO:0014054,lymphoproliferative syndrome 2,True
MONDO:0008222,MONDO:0008222,Andersen-Tawil syndrome,True
MONDO:0003079,MONDO:0003079,mastocytoma,True
MONDO:0019098,MONDO:0019098,autoimmune thrombocytopenia,True
MONDO:0044212,MONDO:0044212,chronic idiopathic urticaria,True
MONDO:0016047,MONDO:0016047,endophthalmitis,True
MONDO:0000521,MONDO:0000521,salivary gland carcinoma,True
MONDO:0100233,MONDO:0100233,long COVID-19,True
MONDO:0007834,MONDO:0007834,islet cell adenomatosis,True
MONDO:0008300,MONDO:0008300,Prader-Willi syndrome,True
MONDO:0015168,MONDO:0015168,arthrogryposis multiplex congenita,True
MONDO:0016394,MONDO:0016394,sporadic infantile bilateral striatal necrosis,True
MONDO:0026722,MONDO:0026722,Mullegama-Klein-Martinez syndrome,True
MONDO:0024662,MONDO:0024662,colorectal tubulovillous adenoma,True
MONDO:0971001,MONDO:0971001,immunodeficiency 121 with autoinflammation,True
MONDO:0017596,MONDO:0017596,diffuse large B-cell lymphoma of the central nervous system,True
MONDO:0100330,MONDO:0100330,disease arising from reactivation of latent virus,True
MONDO:0004782,MONDO:0004782,diabetes insipidus,True
MONDO:0019797,MONDO:0019797,acrodysostosis,True
MONDO:0018896,MONDO:0018896,thrombotic thrombocytopenic purpura,True
MONDO:0004355,MONDO:0004355,childhood leukemia,True
MONDO:0016471,MONDO:0016471,pachyonychia congenita,True
MONDO:0010662,MONDO:0010662,paraplegia-intellectual disability-hyperkeratosis syndrome,True
MONDO:0008493,MONDO:0008493,overhydrated hereditary stomatocytosis,True
MONDO:0007295,MONDO:0007295,self-limited epilepsy with centrotemporal spikes,True
MONDO:0024647,MONDO:0024647,urolithiasis,True
MONDO:0054727,MONDO:0054727,spermatogenic failure 23,True
MONDO:0007113,MONDO:0007113,Angelman syndrome,True
MONDO:0014300,MONDO:0014300,proximal myopathy with extrapyramidal signs,True
MONDO:0970993,MONDO:0970993,immunodeficiency 119,True
MONDO:0021104,MONDO:0021104,alcoholic fatty liver disease,True
MONDO:0007473,MONDO:0007473,Duane retraction syndrome,True
MONDO:0014118,MONDO:0014118,congenital neutropenia-myelofibrosis-nephromegaly syndrome,True
MONDO:0016305,MONDO:0016305,atypical pantothenate kinase-associated neurodegeneration,True
MONDO:0060507,MONDO:0060507,retinal dystrophy with or without macular staphyloma,True
MONDO:0007367,MONDO:0007367,"febrile seizures, familial, 1",True
MONDO:0004784,MONDO:0004784,allergic asthma,True
MONDO:0008185,MONDO:0008185,hereditary chronic pancreatitis,True
MONDO:0016216,MONDO:0016216,adult hepatocellular carcinoma,True
MONDO:0019068,MONDO:0019068,congenital membranous nephropathy due to maternal anti-neutral endopeptidase alloimmunization,True
MONDO:0018975,MONDO:0018975,neurofibromatosis type 1,True
MONDO:0003001,MONDO:0003001,seminoma,True
MONDO:0032696,MONDO:0032696,oocyte maturation defect 6,True
MONDO:0013291,MONDO:0013291,glycogen storage disease XV,True
MONDO:0958006,MONDO:0958006,"spondyloepimetaphyseal dysplasia, Guo-Campeau type",True
MONDO:0007705,MONDO:0007705,Heinz body anemia,True
MONDO:0002708,MONDO:0002708,retinitis,True
MONDO:0013410,MONDO:0013410,"46,XY sex reversal 6",True
MONDO:0032766,MONDO:0032766,"hypoalphalipoproteinemia, primary, 2",True
MONDO:0034054,MONDO:0034054,severe combined immunodeficiency due to CD70 deficiency,True
MONDO:0020640,MONDO:0020640,autoimmune encephalitis,True
MONDO:0054730,MONDO:0054730,spermatogenic failure 26,True
MONDO:0001475,MONDO:0001475,neutropenia,True
MONDO:0010066,MONDO:0010066,familial isolated congenital asplenia,True
MONDO:0009676,MONDO:0009676,autosomal recessive limb-girdle muscular dystrophy type 2B,True
MONDO:0015229,MONDO:0015229,Bardet-Biedl syndrome,True
MONDO:0007947,MONDO:0007947,Marfan syndrome,True
MONDO:0004126,MONDO:0004126,thyroiditis,True
MONDO:0015667,MONDO:0015667,acute myeloid leukemia by FAB classification,True
MONDO:0008810,MONDO:0008810,familial apolipoprotein C-II deficiency,True
MONDO:0007686,MONDO:0007686,gray platelet syndrome,True
MONDO:0014851,MONDO:0014851,"hypercalcemia, infantile, 2",True
MONDO:0009582,MONDO:0009582,Mietens syndrome,True
MONDO:0013758,MONDO:0013758,Charcot-Marie-Tooth disease dominant intermediate E,True
MONDO:0017778,MONDO:0017778,lamellar ichthyosis,True
MONDO:0010298,MONDO:0010298,Lesch-Nyhan syndrome,True
MONDO:0004928,MONDO:0004928,lymph node disorder,True
MONDO:0003024,MONDO:0003024,breast angiosarcoma,True
MONDO:0007732,MONDO:0007732,Holt-Oram syndrome,True
MONDO:0011760,MONDO:0011760,Scheie syndrome,True
MONDO:0005178,MONDO:0005178,osteoarthritis,True
MONDO:0001823,MONDO:0001823,sick sinus syndrome,True
MONDO:0024573,MONDO:0024573,familial hypertrophic cardiomyopathy,True
MONDO:0020074,MONDO:0020074,progressive myoclonus epilepsy,True
MONDO:0010264,MONDO:0010264,X-linked adrenal hypoplasia congenita,True
MONDO:0014621,MONDO:0014621,Brugada syndrome 9,True
MONDO:0010679,MONDO:0010679,Duchenne muscular dystrophy,True
MONDO:0019154,MONDO:0019154,androgen insensitivity syndrome,True
MONDO:0957981,MONDO:0957981,immunodeficiency 115 with autoinflammation,True
MONDO:0054723,MONDO:0054723,spermatogenic failure 19,True
MONDO:0037821,MONDO:0037821,porphyrin metabolism disease,True
MONDO:0002492,MONDO:0002492,acute kidney injury,True
MONDO:0003453,MONDO:0003453,conjunctival intraepithelial neoplasm,True
MONDO:0001627,MONDO:0001627,dementia,True
MONDO:0002358,MONDO:0002358,laryngeal carcinoma,True
MONDO:0000432,MONDO:0000432,lymphoplasmacytic lymphoma,True
MONDO:0019917,MONDO:0019917,maternal uniparental disomy of chromosome 20,True
MONDO:0009685,MONDO:0009685,Miyoshi myopathy,True
MONDO:0002616,MONDO:0002616,mesenchymal cell neoplasm,True
MONDO:0021192,MONDO:0021192,odontogenic neoplasm,True
MONDO:0008038,MONDO:0008038,ataxia-pancytopenia syndrome,True
MONDO:0000490,MONDO:0000490,glomerulosclerosis,True
MONDO:0002480,MONDO:0002480,endometrioid tumor,True
MONDO:0000771,MONDO:0000771,allergic respiratory disease,True
MONDO:0007481,MONDO:0007481,Leri-Weill dyschondrosteosis,True
MONDO:0016006,MONDO:0016006,Cockayne syndrome,True
MONDO:0015760,MONDO:0015760,T-cell non-Hodgkin lymphoma,True
MONDO:0002525,MONDO:0002525,inherited lipid metabolism disorder,True
MONDO:0001572,MONDO:0001572,leiomyoma,True
MONDO:0021248,MONDO:0021248,nervous system neoplasm,True
MONDO:0007795,MONDO:0007795,mullerian duct anomalies-limb anomalies syndrome,True
MONDO:0005184,MONDO:0005184,pancreatic ductal adenocarcinoma,True
MONDO:0800373,MONDO:0800373,carbon monoxide poisoning,True
MONDO:0030307,MONDO:0030307,spermatogenic failure 55,True
MONDO:0008734,MONDO:0008734,"adrenocortical carcinoma, hereditary",True
MONDO:0013372,MONDO:0013372,long QT syndrome 5,True
MONDO:0009833,MONDO:0009833,Shwachman-Diamond syndrome,True
MONDO:0010726,MONDO:0010726,Rett syndrome,True
MONDO:0004975,MONDO:0004975,Alzheimer disease,True
MONDO:0007309,MONDO:0007309,Charcot-Marie-Tooth disease type 1A,True
MONDO:0019696,MONDO:0019696,acromesomelic dysplasia,True
MONDO:0015974,MONDO:0015974,severe combined immunodeficiency,True
MONDO:0800043,MONDO:0800043,Stüve-Wiedemann syndrome 1,True
MONDO:0013459,MONDO:0013459,osteogenesis imperfecta type 10,True
MONDO:0007739,MONDO:0007739,Huntington disease,True
MONDO:0019772,MONDO:0019772,blepharospasm-oromandibular dystonia syndrome,True
MONDO:0007064,MONDO:0007064,"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",True
MONDO:0002814,MONDO:0002814,adrenal carcinoma,True
MONDO:0024465,MONDO:0024465,"surfactant metabolism dysfunction, pulmonary, 2",True
MONDO:0005180,MONDO:0005180,Parkinson disease,True
MONDO:0009571,MONDO:0009571,"Meckel syndrome, type 1",True
MONDO:0011962,MONDO:0011962,endometrial cancer,True
MONDO:0000491,MONDO:0000491,limb ischemia,True
MONDO:0002635,MONDO:0002635,periodontal disorder,True
MONDO:0007056,MONDO:0007056,acroosteolysis,True
MONDO:0012923,MONDO:0012923,congenital generalized lipodystrophy type 3,True
MONDO:0018321,MONDO:0018321,atypical juvenile parkinsonism,True
MONDO:0002253,MONDO:0002253,spondylosis,True
MONDO:0013279,MONDO:0013279,long QT syndrome 13,True
MONDO:0013318,MONDO:0013318,early repolarization associated with ventricular fibrillation,True
MONDO:0015746,MONDO:0015746,male infertility due to globozoospermia,True
MONDO:0011448,MONDO:0011448,PPARG-related familial partial lipodystrophy,True
MONDO:0019439,MONDO:0019439,AA amyloidosis,True
MONDO:0021118,MONDO:0021118,intestinal neoplasm,True
MONDO:0008476,MONDO:0008476,"spondyloepimetaphyseal dysplasia, Strudwick type",True
MONDO:0033622,MONDO:0033622,spermatogenic failure 44,True
MONDO:0002050,MONDO:0002050,depressive disorder,True
MONDO:0043479,MONDO:0043479,adenoviridae infectious disease,True
MONDO:0020066,MONDO:0020066,Ehlers-Danlos syndrome,True
MONDO:0009491,MONDO:0009491,Haim-Munk syndrome,True
MONDO:0009480,MONDO:0009480,Joubert syndrome with oculorenal defect,True
MONDO:0030996,MONDO:0030996,"bleeding disorder, platelet-type, 24",True
MONDO:0957809,MONDO:0957809,"neutropenia, severe congenital, 10, autosomal recessive",True
MONDO:0030925,MONDO:0030925,oocyte maturation defect 10,True
MONDO:0013044,MONDO:0013044,atypical hemolytic-uremic syndrome with thrombomodulin anomaly,True
MONDO:0017413,MONDO:0017413,Reunion island Larsen syndrome,True
MONDO:0033673,MONDO:0033673,spermatogenic failure 46,True
MONDO:0009735,MONDO:0009735,Netherton syndrome,True
MONDO:0018237,MONDO:0018237,acrofacial dysostosis,True
MONDO:0015524,MONDO:0015524,hyperplastic polyposis syndrome,True
MONDO:0008708,MONDO:0008708,acrocallosal syndrome,True
MONDO:0859522,MONDO:0859522,spermatogenic failure 81,True
MONDO:0004301,MONDO:0004301,fibrosarcomatous osteosarcoma,True
MONDO:0100147,MONDO:0100147,SATB2 associated disorder,True
MONDO:0021187,MONDO:0021187,hyperlipidemia,True
MONDO:0004180,MONDO:0004180,benign urinary system neoplasm,True
MONDO:0011128,MONDO:0011128,Sheldon-hall syndrome,True
MONDO:0012859,MONDO:0012859,autosomal recessive osteopetrosis 7,True
MONDO:0018338,MONDO:0018338,activated PI3K-delta syndrome,True
MONDO:0004651,MONDO:0004651,smallpox,True
MONDO:0020336,MONDO:0020336,autosomal dominant Emery-Dreifuss muscular dystrophy,True
MONDO:0014804,MONDO:0014804,sideroblastic anemia 3,True
MONDO:0003519,MONDO:0003519,malignant syringoma,True
MONDO:0022529,MONDO:0022529,BK-virus nephropathy,True
MONDO:0019391,MONDO:0019391,Fanconi anemia,True
