id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
HP:0002721,HP,HP:0002721,Immunodeficiency,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0011947,HP,HP:0011947,Respiratory tract infection,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:0003747,OBA,OBA:0003747,glomerular filtration rate,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:1000110,OBA,OBA:1000110,bone tissue density,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0000195,EFO,EFO:0000195,metabolic syndrome,efo,False,True,biolink:Disease,
HP:0100660,HP,HP:0100660,Dyskinesia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0005689,EFO,EFO:0005689,non-high density lipoprotein cholesterol measurement,efo,False,True,biolink:Disease,
EFO:0005106,EFO,EFO:0005106,body composition measurement,efo,False,True,biolink:Disease,
EFO:1001491,EFO,EFO:1001491,abortion,efo,False,True,biolink:Disease,
HP:0001987,HP,HP:0001987,Hyperammonemia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0008496,EFO,EFO:0008496,chronic hepatitis,efo,False,True,biolink:Disease,
OBA:2050065,OBA,OBA:2050065,serum urea amount,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0007789,EFO,EFO:0007789,BMI-adjusted waist circumference,efo,False,True,biolink:Disease,
EFO:0022160,EFO,EFO:0022160,concentration of large LDL particles measurement,efo,False,True,biolink:Disease,
OBA:2041446,OBA,OBA:2041446,level of eukaryotic translation initiation factor 3 subunit B in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:1001471,EFO,EFO:1001471,Merkel cell skin cancer,efo,False,True,biolink:Disease,
HP:0100526,HP,HP:0100526,Neoplasm of the lung,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0009885,EFO,EFO:0009885,frailty measurement,efo,False,True,biolink:Disease,
OBA:2045560,OBA,OBA:2045560,amount of iron in brain,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0006336,EFO,EFO:0006336,diastolic blood pressure,efo,False,True,biolink:Disease,
EFO:0022157,EFO,EFO:0022157,free cholesterol in large HDL measurement,efo,False,True,biolink:Disease,
HP:0000842,HP,HP:0000842,Hyperinsulinemia,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0021900,EFO,EFO:0021900,cholesterol in large HDL measurement,efo,False,True,biolink:Disease,
EFO:0022296,EFO,EFO:0022296,phospholipids in small HDL measurement,efo,False,True,biolink:Disease,
EFO:0009622,EFO,EFO:0009622,fracture of pelvis,efo,False,True,biolink:Disease,
HP:0002242,HP,HP:0002242,Abnormal intestine morphology,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0800337,EFO,EFO:0800337,N-oleoyltaurine measurement,efo,False,True,biolink:Disease,
HP:0001667,HP,HP:0001667,Right ventricular hypertrophy,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004312,EFO,EFO:0004312,vital capacity,efo,False,True,biolink:Disease,
EFO:0920024,EFO,EFO:0920024,cholesteryl esters in very large VLDL measurement,efo,False,True,biolink:Disease,
EFO:0010623,EFO,EFO:0010623,tissue factor measurement,efo,False,True,biolink:Disease,
EFO:0009783,EFO,EFO:0009783,carotid atherosclerosis,efo,False,True,biolink:Disease,
EFO:0006835,EFO,EFO:0006835,pyoderma gangrenosum,efo,False,True,biolink:Disease,
EFO:0022154,EFO,EFO:0022154,phospholipids in medium VLDL measurement,efo,False,True,biolink:Disease,
EFO:0004838,EFO,EFO:0004838,calcium measurement,efo,False,True,biolink:Disease,
EFO:0022326,EFO,EFO:0022326,triglycerides in VLDL measurement,efo,False,True,biolink:Disease,
HP:0012531,HP,HP:0012531,Pain,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0000551,EFO,EFO:0000551,intracranial hemorrhage,efo,False,True,biolink:Disease,
HP:0001410,HP,HP:0001410,Decreased liver function,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
HP:0032252,HP,HP:0032252,Granuloma,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
