id,prefix,previous_name,label,label_source,label_ontology,obsolete_term,matched,current_category,suggested_category
MONDO:0002728,MONDO,EFO:0005701,rhabdoid tumor,mondo_release,mondo,,True,biolink:Disease,
MONDO:0700044,MONDO,MONDO:0700044,,mondo_release,mondo,,False,biolink:Disease,
MONDO:0009691,MONDO,EFO:1001051,mycosis fungoides,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019496,MONDO,EFO:1001901,neuroendocrine neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005611,MONDO,EFO:0006544,bladder transitional cell carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004286,MONDO,MONDO:0004286,pancreatic intraductal papillary-mucinous neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016780,MONDO,MONDO:0016780,paternal 14q32.2 microdeletion syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0021148,MONDO,MONDO:0021148,female reproductive system neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002334,MONDO,MONDO:0002334,hematopoietic and lymphoid system neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0013934,MONDO,MONDO:0013934,combined immunodeficiency due to STK4 deficiency,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002974,MONDO,MONDO:0002974,cervical cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009216,MONDO,MONDO:0009216,glycogen storage disease due to GLUT2 deficiency,mondo_release,mondo,,True,biolink:Disease,
MONDO:0017361,MONDO,EFO:0007218,congenital rubella syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007959,MONDO,EFO:0002939,medulloblastoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005048,MONDO,EFO:0000549,pancreatic insulin-producing neuroendocrine tumor,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007254,MONDO,MONDO:0007254,breast cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0023161,MONDO,MONDO:0023161,viral myocarditis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004643,MONDO,MONDO:0004643,myeloid leukemia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018630,MONDO,MONDO:0018630,hereditary nonpolyposis colon cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005488,MONDO,EFO:0005423,adolescent idiopathic scoliosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008733,MONDO,MONDO:0008733,familial glucocorticoid deficiency,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007471,MONDO,Orphanet:75376,Doyne honeycomb retinal dystrophy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006130,MONDO,EFO:1000158,central nervous system neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002691,MONDO,MONDO:0002691,liver cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002207,MONDO,MONDO:0002207,vulval Paget disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005041,MONDO,MONDO:0005041,glaucoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019434,MONDO,EFO:1001999,systemic-onset juvenile idiopathic arthritis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007496,MONDO,MONDO:0007496,dystonia 12,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007809,MONDO,MONDO:0007809,"ichthyosis histrix, Lambert type",mondo_release,mondo,,True,biolink:Disease,
MONDO:0019722,MONDO,EFO:1002049,glomerular disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0011841,MONDO,Orphanet:199348,biotin-responsive basal ganglia disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0021251,MONDO,MONDO:0021251,endometrium neoplasm,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006909,MONDO,EFO:1001109,pituitary dwarfism,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005139,MONDO,EFO:0001074,morbid obesity,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018875,MONDO,MONDO:0018875,Li-Fraumeni syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016218,MONDO,EFO:0007292,Guillain-Barre syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0000190,MONDO,EFO:0004287,ventricular fibrillation,mondo_release,mondo,,True,biolink:Disease,
MONDO:0003783,MONDO,MONDO:0003783,lymphopenia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005105,MONDO,EFO:0000756,melanoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0014048,MONDO,MONDO:0014048,Cowden syndrome 6,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016642,MONDO,MONDO:0016642,meningioma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005575,MONDO,MONDO:0005575,colorectal cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0015674,MONDO,MONDO:0015674,late infantile neuronal ceroid lipofuscinosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0015459,MONDO,MONDO:0015459,nasopharyngeal carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005140,MONDO,EFO:0001075,ovarian carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019506,MONDO,Orphanet:88643,obesity-colitis-hypothyroidism-cardiac hypertrophy-developmental delay syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009629,MONDO,MONDO:0009629,Desbuquois dysplasia 1,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005459,MONDO,EFO:0005225,human African trypanosomiasis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0015254,MONDO,EFO:1001475,schistosomiasis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005485,MONDO,EFO:0005407,psychotic disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008921,MONDO,MONDO:0008921,carnosinemia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009446,MONDO,Orphanet:2278,ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005532,MONDO,EFO:0005622,Crohn's colitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018899,MONDO,MONDO:0018899,posterior cortical atrophy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0012725,MONDO,MONDO:0012725,lipoprotein glomerulopathy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005161,MONDO,EFO:0001668,human papilloma virus infection,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018874,MONDO,EFO:0000222,acute myeloid leukemia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005005,MONDO,EFO:0000349,clear cell renal carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007152,MONDO,MONDO:0007152,arrhythmogenic right ventricular dysplasia 1,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005111,MONDO,EFO:0000769,Epstein-Barr virus infection,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005288,MONDO,EFO:0003855,intestinal polyp,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008608,MONDO,EFO:0001064,Down syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002257,MONDO,MONDO:0002257,ankylosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018876,MONDO,EFO:1001469,mantle cell lymphoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018815,MONDO,EFO:1001760,aneurysmal bone cyst,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016700,MONDO,MONDO:0016700,anaplastic ependymoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0003847,MONDO,EFO:0000508,hereditary disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005328,MONDO,EFO:0003966,eye disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010788,MONDO,MONDO:0010788,Leber hereditary optic neuropathy,mondo_release,mondo,,True,biolink:Disease,
MONDO:0033262,MONDO,MONDO:0033262,nephrotic syndrome 15,mondo_release,mondo,,True,biolink:Disease,
MONDO:0020761,MONDO,MONDO:0020761,Bowen disease of the skin,mondo_release,mondo,,True,biolink:Disease,
MONDO:0045063,MONDO,MONDO:0045063,major salivary gland adenoid cystic carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005438,MONDO,EFO:0004906,metastatic malignant neoplasm in the lymph nodes,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008411,MONDO,MONDO:0008411,ulnar-mammary syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0000525,MONDO,EFO:1000155,cecum villous adenoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0042491,MONDO,MONDO:0042491,cervical squamous intraepithelial neoplasia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0012675,MONDO,MONDO:0012675,corticosteroid-binding globulin deficiency,mondo_release,mondo,,True,biolink:Disease,
MONDO:0012819,MONDO,EFO:1000897,diabetic ketoacidosis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004892,MONDO,MONDO:0004892,refractive error,mondo_release,mondo,,True,biolink:Disease,
MONDO:0016761,MONDO,MONDO:0016761,spondyloepiphyseal dysplasia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0014810,MONDO,MONDO:0014810,pancytopenia due to IKZF1 mutations,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008383,MONDO,EFO:0000685,rheumatoid arthritis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0003036,MONDO,MONDO:0003036,mucoepidermoid carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0002898,MONDO,MONDO:0002898,skin cancer,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005580,MONDO,EFO:0005922,esophageal squamous cell carcinoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004849,MONDO,EFO:0000464,pulmonary emphysema,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007027,MONDO,EFO:1001249,metabolic dysfunction-associated steatohepatitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005146,MONDO,EFO:0001358,post-traumatic stress disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0018177,MONDO,EFO:0000519,glioblastoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0100010,MONDO,EFO:1001434,disease of the tendon,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005083,MONDO,EFO:0000676,psoriasis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005108,MONDO,EFO:0000763,viral infectious disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0008233,MONDO,MONDO:0008233,pheochromocytoma,mondo_release,mondo,,True,biolink:Disease,
MONDO:0009830,MONDO,MONDO:0009830,parkinsonian-pyramidal syndrome,mondo_release,mondo,,True,biolink:Disease,
MONDO:0017967,MONDO,MONDO:0017967,testicular agenesis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0004995,MONDO,EFO:0000319,cardiovascular disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019524,MONDO,MONDO:0019524,Bartter syndrome type 4,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005306,MONDO,EFO:0003898,ankylosing spondylitis,mondo_release,mondo,,True,biolink:Disease,
MONDO:0007681,MONDO,Orphanet:276399,"goiter, multinodular 1, with or without Sertoli-Leydig cell tumors",mondo_release,mondo,,True,biolink:Disease,
MONDO:0020546,MONDO,MONDO:0020546,acute graft versus host disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0006170,MONDO,EFO:1000203,conjunctival disorder,mondo_release,mondo,,True,biolink:Disease,
MONDO:0019402,MONDO,MONDO:0019402,beta thalassemia,mondo_release,mondo,,True,biolink:Disease,
MONDO:0010463,MONDO,MONDO:0010463,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",mondo_release,mondo,,True,biolink:Disease,
MONDO:0005559,MONDO,EFO:0005772,neurodegenerative disease,mondo_release,mondo,,True,biolink:Disease,
MONDO:0005147,MONDO,MONDO:0005147,type 1 diabetes mellitus,mondo_release,mondo,,True,biolink:Disease,
