curie	label	ontology	obsolete	iri	status
EFO:0022322	triglycerides in medium LDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022322	ok
EFO:0022326	triglycerides in VLDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0022326	ok
EFO:0022335	triglycerides to total lipids in medium VLDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022335	ok
EFO:0022337	triglycerides to total lipids in small LDL percentage	efo	false	http://www.ebi.ac.uk/efo/EFO_0022337	ok
EFO:0600064	serum lipopolysaccharide activity	efo	false	http://www.ebi.ac.uk/efo/EFO_0600064	ok
EFO:0700022	obsolete_lysosomal acid lipase deficiency	efo	true	http://www.ebi.ac.uk/efo/EFO_0700022	ok
EFO:0700134	obsolete_resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta	efo	true	http://www.ebi.ac.uk/efo/EFO_0700134	ok
EFO:0800337	N-oleoyltaurine measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0800337	ok
EFO:0800672	fibrinopeptide A measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0800672	ok
EFO:0801229	oral microbiome measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0801229	ok
EFO:0801555	E3 ubiquitin-protein ligase RNF128 measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0801555	ok
EFO:0801819	n-acetyltransferase 14 measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0801819	ok
EFO:0803382	perivascular space measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0803382	ok
EFO:0803548	neutrophil measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0803548	ok
EFO:0920022	cholesteryl esters in HDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0920022	ok
EFO:0920024	cholesteryl esters in very large VLDL measurement	efo	false	http://www.ebi.ac.uk/efo/EFO_0920024	ok
EFO:1000636	inflammatory skin disease	efo	false	http://www.ebi.ac.uk/efo/EFO_1000636	ok
EFO:1000653	sarcopenia	efo	false	http://www.ebi.ac.uk/efo/EFO_1000653	ok
EFO:1000965	Henoch-Schoenlein purpura	efo	false	http://www.ebi.ac.uk/efo/EFO_1000965	ok
EFO:1001129	obsolete_proliferative vitreoretinopathy	efo	true	http://www.ebi.ac.uk/efo/EFO_1001129	ok
EFO:1001248	non-alcoholic fatty liver	efo	false	http://www.ebi.ac.uk/efo/EFO_1001248	ok
EFO:1001326	Flavivirus Infections	efo	false	http://www.ebi.ac.uk/efo/EFO_1001326	ok
EFO:1001418	Salmonella Infections	efo	false	http://www.ebi.ac.uk/efo/EFO_1001418	ok
EFO:1001436	thyroid nodule	efo	false	http://www.ebi.ac.uk/efo/EFO_1001436	ok
EFO:1001461	endothelial dysfunction	efo	false	http://www.ebi.ac.uk/efo/EFO_1001461	ok
EFO:1001471	Merkel cell skin cancer	efo	false	http://www.ebi.ac.uk/efo/EFO_1001471	ok
EFO:1001491	abortion	efo	false	http://www.ebi.ac.uk/efo/EFO_1001491	ok
EFO:1001494	psoriasis vulgaris	efo	false	http://www.ebi.ac.uk/efo/EFO_1001494	ok
EFO:1001514	endometrial endometrioid carcinoma	efo	false	http://www.ebi.ac.uk/efo/EFO_1001514	ok
EFO:1001516	ovarian serous carcinoma	efo	false	http://www.ebi.ac.uk/efo/EFO_1001516	ok
EFO:1001836	pyogenic liver abscess	efo	false	http://www.ebi.ac.uk/efo/EFO_1001836	ok
EFO:1001904	oral mucositis	efo	false	http://www.ebi.ac.uk/efo/EFO_1001904	ok
EFO:1001927	cutaneous squamous cell carcinoma	efo	false	http://www.ebi.ac.uk/efo/EFO_1001927	ok
EFO:1001955	erythroleukemia	efo	false	http://www.ebi.ac.uk/efo/EFO_1001955	ok
GO:0009410	response to xenobiotic stimulus	go	false	http://purl.obolibrary.org/obo/GO_0009410	ok
HP:0000112	Nephropathy	hp	false	http://purl.obolibrary.org/obo/HP_0000112	ok
HP:0000356	Abnormality of the outer ear	hp	false	http://purl.obolibrary.org/obo/HP_0000356	ok
HP:0000539	Abnormality of refraction	hp	false	http://purl.obolibrary.org/obo/HP_0000539	ok
HP:0000739	Anxiety	hp	false	http://purl.obolibrary.org/obo/HP_0000739	ok
HP:0000842	Hyperinsulinemia	hp	false	http://purl.obolibrary.org/obo/HP_0000842	ok
HP:0000855	Insulin resistance	hp	false	http://purl.obolibrary.org/obo/HP_0000855	ok
HP:0000975	Hyperhidrosis	hp	false	http://purl.obolibrary.org/obo/HP_0000975	ok
HP:0001250	Seizure	hp	false	http://purl.obolibrary.org/obo/HP_0001250	ok
HP:0001268	Mental deterioration	hp	false	http://purl.obolibrary.org/obo/HP_0001268	ok
HP:0001270	Motor delay	hp	false	http://purl.obolibrary.org/obo/HP_0001270	ok
HP:0001300	Parkinsonism	hp	false	http://purl.obolibrary.org/obo/HP_0001300	ok
HP:0001394	Cirrhosis	hp	false	http://purl.obolibrary.org/obo/HP_0001394	ok
HP:0001395	Hepatic fibrosis	hp	false	http://purl.obolibrary.org/obo/HP_0001395	ok
HP:0001397	Hepatic steatosis	hp	false	http://purl.obolibrary.org/obo/HP_0001397	ok
HP:0001410	Decreased liver function	hp	false	http://purl.obolibrary.org/obo/HP_0001410	ok
HP:0001520	Large for gestational age	hp	false	http://purl.obolibrary.org/obo/HP_0001520	ok
HP:0001643	Patent ductus arteriosus	hp	false	http://purl.obolibrary.org/obo/HP_0001643	ok
HP:0001667	Right ventricular hypertrophy	hp	false	http://purl.obolibrary.org/obo/HP_0001667	ok
HP:0001732	Abnormality of the pancreas	hp	false	http://purl.obolibrary.org/obo/HP_0001732	ok
HP:0001822	Hallux valgus	hp	false	http://purl.obolibrary.org/obo/HP_0001822	ok
HP:0001873	Thrombocytopenia	hp	false	http://purl.obolibrary.org/obo/HP_0001873	ok
HP:0001952	Glucose intolerance	hp	false	http://purl.obolibrary.org/obo/HP_0001952	ok
HP:0001987	Hyperammonemia	hp	false	http://purl.obolibrary.org/obo/HP_0001987	ok
HP:0002015	Dysphagia	hp	false	http://purl.obolibrary.org/obo/HP_0002015	ok
HP:0002032	Esophageal atresia	hp	false	http://purl.obolibrary.org/obo/HP_0002032	ok
HP:0002075	Dysdiadochokinesis	hp	false	http://purl.obolibrary.org/obo/HP_0002075	ok
HP:0002119	Ventriculomegaly	hp	false	http://purl.obolibrary.org/obo/HP_0002119	ok
HP:0002135	Basal ganglia calcification	hp	false	http://purl.obolibrary.org/obo/HP_0002135	ok
HP:0002202	Pleural effusion	hp	false	http://purl.obolibrary.org/obo/HP_0002202	ok
HP:0002242	Abnormal intestine morphology	hp	false	http://purl.obolibrary.org/obo/HP_0002242	ok
HP:0002315	Headache	hp	false	http://purl.obolibrary.org/obo/HP_0002315	ok
HP:0002411	Myokymia	hp	false	http://purl.obolibrary.org/obo/HP_0002411	ok
HP:0002721	Immunodeficiency	hp	false	http://purl.obolibrary.org/obo/HP_0002721	ok
HP:0002783	Recurrent lower respiratory tract infections	hp	false	http://purl.obolibrary.org/obo/HP_0002783	ok
HP:0002960	Autoimmunity	hp	false	http://purl.obolibrary.org/obo/HP_0002960	ok
HP:0003040	Arthropathy	hp	false	http://purl.obolibrary.org/obo/HP_0003040	ok
HP:0003073	Hypoalbuminemia	hp	false	http://purl.obolibrary.org/obo/HP_0003073	ok
HP:0003074	Hyperglycemia	hp	false	http://purl.obolibrary.org/obo/HP_0003074	ok
HP:0003419	Low back pain	hp	false	http://purl.obolibrary.org/obo/HP_0003419	ok
HP:0003489	Acute episodes of neuropathic symptoms	hp	false	http://purl.obolibrary.org/obo/HP_0003489	ok
HP:0004398	Peptic ulcer	hp	false	http://purl.obolibrary.org/obo/HP_0004398	ok
HP:0004418	Thrombophlebitis	hp	false	http://purl.obolibrary.org/obo/HP_0004418	ok
HP:0005180	Tricuspid regurgitation	hp	false	http://purl.obolibrary.org/obo/HP_0005180	ok
HP:0005268	Miscarriage	hp	false	http://purl.obolibrary.org/obo/HP_0005268	ok
HP:0005359	Aplasia of the thymus	hp	false	http://purl.obolibrary.org/obo/HP_0005359	ok
HP:0005528	Bone marrow hypocellularity	hp	false	http://purl.obolibrary.org/obo/HP_0005528	ok
HP:0006536	Airway obstruction	hp	false	http://purl.obolibrary.org/obo/HP_0006536	ok
HP:0009726	Renal neoplasm	hp	false	http://purl.obolibrary.org/obo/HP_0009726	ok
HP:0010783	Erythema	hp	false	http://purl.obolibrary.org/obo/HP_0010783	ok
HP:0010976	Decreased total B cell count	hp	false	http://purl.obolibrary.org/obo/HP_0010976	ok
HP:0010992	Stress urinary incontinence	hp	false	http://purl.obolibrary.org/obo/HP_0010992	ok
